,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
0,1.71,9.73,0.89,-4.95,7.63,-1.12,9.51,0.3,1.62,idle,
1,1.72,9.7,0.95,-5.49,9.22,-0.37,9.38,0.24,1.53,idle,
2,1.64,9.71,1.02,-5.78,9.77,0.11,9.4,0.28,1.63,idle,
3,1.66,9.74,0.95,-5.4,9.03,0.47,9.29,0.32,1.52,idle,
4,1.53,9.7,0.91,-5.47,7.45,-0.2,9.34,0.31,1.54,idle,
5,1.44,9.64,0.93,-4.98,5.16,-0.18,9.41,0.31,1.6,idle,
6,1.41,9.7,0.92,-4.44,2.42,-0.44,9.38,0.25,1.58,idle,
7,1.43,9.77,1.14,-5.0,-0.88,-1.03,9.44,0.35,1.69,idle,
8,1.52,9.71,1.12,-5.02,-3.6,-1.37,9.38,0.28,1.61,idle,
9,1.61,9.75,0.99,-4.92,-4.94,-1.95,9.31,0.27,1.61,idle,
10,1.82,9.72,1.08,-4.19,-4.56,-2.34,9.38,0.23,1.53,idle,
11,1.81,9.64,1.1,-3.3,-3.95,-1.59,9.53,0.26,1.63,idle,
12,1.82,9.68,1.11,-2.86,-3.61,-0.54,9.44,0.28,1.63,idle,
13,1.82,9.74,1.22,-3.33,-2.95,-0.24,9.44,0.38,1.64,idle,
14,1.77,9.7,1.14,-2.61,-2.04,-0.26,9.39,0.27,1.64,idle,
15,1.59,9.76,1.14,-1.66,-1.55,-0.23,9.4,0.26,1.55,idle,
16,1.54,9.8,1.1,-1.84,-1.5,-0.6,9.47,0.37,1.58,idle,
17,1.57,9.84,1.06,-2.85,-1.92,-1.63,9.47,0.43,1.7,idle,
18,1.61,9.75,1.08,-2.86,-2.15,-3.19,9.31,0.25,1.46,idle,
19,1.77,9.78,1.14,-2.57,-0.31,-3.35,9.35,0.19,1.62,idle,
20,1.75,9.72,1.14,-2.95,1.16,-2.24,9.44,0.26,1.73,idle,
21,1.74,9.63,1.04,-3.12,1.76,-1.41,9.52,0.28,1.71,idle,
22,1.77,9.59,1.05,-2.85,2.83,-1.15,9.59,0.3,1.77,idle,
23,1.65,9.62,1.04,-2.2,3.22,-0.66,9.42,0.31,1.7,idle,
24,1.5,9.62,1.03,-1.69,2.1,-0.27,9.28,0.3,1.67,idle,
25,1.37,9.7,0.91,-1.98,-0.95,-1.06,9.27,0.35,1.73,idle,
26,1.43,9.67,0.92,-2.27,-4.05,-2.02,9.32,0.41,1.73,idle,
27,1.52,9.73,1.08,-2.57,-6.44,-2.52,9.46,0.37,1.75,idle,
28,1.71,9.75,0.98,-3.5,5.67,-1.18,9.5,0.37,1.68,idle,
29,1.77,9.67,0.97,-1.53,1.49,-2.07,9.44,0.42,1.57,idle,
30,1.83,9.66,0.99,-2.56,0.47,-2.49,9.37,0.38,1.61,idle,
31,1.85,9.68,1.08,-2.04,0.79,-2.58,9.43,0.35,1.66,idle,
32,1.85,9.69,1.13,-1.85,1.21,-2.27,9.44,0.37,1.65,idle,
33,1.86,9.84,1.01,-2.22,2.02,-1.85,9.38,0.34,1.65,idle,
34,1.81,9.74,0.97,-3.03,2.24,-1.96,9.4,0.33,1.7,idle,
35,1.6,9.68,1.02,-2.11,-1.05,-2.23,9.42,0.41,1.74,idle,
36,1.68,9.56,1.05,-1.57,-2.56,-2.63,9.5,0.4,1.62,idle,
37,1.89,9.8,1.06,-1.99,-3.92,-2.69,9.44,0.42,1.64,idle,
38,1.96,9.84,1.09,-2.53,-2.12,-2.99,9.39,0.49,1.58,idle,
39,1.8,9.58,1.02,-2.13,2.4,-1.4,9.4,0.36,1.53,idle,
40,1.71,9.63,1.05,-1.06,1.23,-1.55,9.53,0.41,1.68,idle,
41,1.73,9.65,0.95,-0.33,0.31,-2.24,9.42,0.29,1.61,idle,
42,1.79,9.78,1.02,-1.2,0.18,-1.92,9.38,0.34,1.67,idle,
43,1.78,9.7,1.0,-2.12,-1.52,-1.45,9.47,0.35,1.65,idle,
44,1.88,9.77,1.08,-2.49,-0.86,-1.73,9.43,0.34,1.6,idle,
45,1.85,9.66,1.03,-2.15,2.11,-1.89,9.41,0.4,1.61,idle,
46,1.78,9.63,1.11,-1.95,3.09,-1.51,9.4,0.39,1.57,idle,
47,1.75,9.67,0.98,-1.62,1.7,-2.04,9.4,0.4,1.62,idle,
48,1.72,9.74,1.05,-2.11,1.24,-1.95,9.43,0.33,1.7,idle,
49,1.91,9.7,1.1,-2.28,0.47,-2.08,9.43,0.25,1.62,idle,
50,1.9,9.62,1.08,-2.31,0.89,-1.76,9.48,0.29,1.63,idle,
51,1.71,9.72,0.99,-2.85,0.76,-1.61,9.42,0.3,1.55,idle,
52,1.7,9.65,0.95,-2.4,0.56,-1.87,9.36,0.35,1.5,idle,
